id,created_at,Artist_name,image_url,edition_id
1,2025-12-12 21:51:56.893919,Avicii,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/331dd493-1b42-4169-8ad2-776134229bd1.jpg,1
2,2025-12-12 21:53:11.987581,Dua Lipa,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/5e4b3b21-a033-4b8e-af46-7f3d84cd707e.jpg,1
4,2025-12-12 21:54:42.882067,Eminem,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/14ae30f3-c1bc-4694-90a6-241b51478810.avif,1
5,2025-12-12 21:57:29.972959,Bastille,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/96629237-e20f-4ea0-b01a-a27fbf01a7f4.jpg,1
6,2025-12-12 21:58:00.47139,Billie Eilish,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/49561952-5c90-41c3-8443-d6a83a3d75c8.jpg,1
7,2025-12-12 21:58:43.76787,Kings Of Leon,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/3fba4f84-19ac-44f5-a817-a4e7c67999dc.jpg,1
8,2025-12-12 21:59:07.772629,Foo Fighters,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/3d84c8d2-0baf-4d6f-b525-dce5763ffdc3.jpg,1
11,2025-12-12 22:02:45.936024,David Guetta,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/35fd37bb-f32e-44d9-a94c-31bf74c75136.webp,2
12,2025-12-12 22:03:12.025794,Imagine Dragons,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/bb264b19-15f5-4580-955c-82d676d4e352.webp,2
13,2025-12-12 22:03:39.578655,Kanye West,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/956db934-d763-4595-8bb5-2743ac4c1ba4.webp,2
14,2025-12-12 22:48:05.295001,Meau,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/bac3f9a6-198b-4d1b-9717-801526600563.jpg,2
15,2025-12-12 22:48:56.972866,Bazart,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/d3702003-f5f2-4b7a-b909-339d3720694f.jpg,2
16,2025-12-13 21:50:21.339438,dEUS,images/artist_images/deus.jpg,2
17,2025-12-13 21:51:23.023208,Pommelien Thijs,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/9ab78668-67e4-44ef-9a93-672163e5d0fe.avif,2
18,2025-12-13 21:52:05.319486,The Cure,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/e2fbc7bc-964b-48ff-a86d-680dedd612d9.webp,2
19,2025-12-13 21:53:32.079844,Florence + The Machine,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/f3ed4a8f-2f42-4129-8707-1deec2545415.jpg,2
20,2025-12-13 21:56:37.57045,Red Hot Chili Peppers,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/48983816-c476-4e19-952d-b4afc6dabd55.jpg,2
21,2025-12-13 21:59:17.671441,Angèle,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/9f72579c-7e02-4bc4-ac51-9846d4b89637.webp,2
22,2025-12-13 22:01:58.080281,Black Box Revelation,https://pwvyxvgwntypsbyuhkwa.supabase.co/storage/v1/object/public/artist-images/artists/134042fa-861a-4b85-aca1-db5e120a3a54.jpg,2
