id,artist_id,user_id,festival_id,created_at,is_hidden
1,1,2,1,2025-12-12 21:52:10.303459+00,false
2,8,2,1,2025-12-12 21:59:18.527532+00,false
3,7,2,1,2025-12-12 21:59:24.072193+00,false
4,5,2,1,2025-12-12 21:59:31.030614+00,false
5,2,2,1,2025-12-12 21:59:35.959244+00,false
7,13,2,2,2025-12-12 22:03:56.38779+00,false
8,11,2,2,2025-12-12 22:04:05.402555+00,false
9,9,2,2,2025-12-12 22:04:14.535848+00,false
10,12,2,2,2025-12-12 22:04:19.762282+00,false
11,11,4,2,2025-12-12 22:27:25.057254+00,false
12,9,4,2,2025-12-12 22:42:54.297904+00,false
13,13,4,2,2025-12-12 22:43:04.072926+00,false
14,12,4,2,2025-12-12 22:43:13.308114+00,false
15,14,1,2,2025-12-12 23:22:50.083807+00,false
16,14,2,2,2025-12-13 09:20:23.202986+00,false
17,20,6,2,2025-12-13 21:57:10.008418+00,false
18,18,6,2,2025-12-13 21:57:15.659976+00,false
19,16,6,2,2025-12-13 21:57:20.710324+00,false
20,9,6,2,2025-12-13 21:57:43.748137+00,false
21,13,6,2,2025-12-13 21:57:50.06448+00,false
22,23,7,2,2025-12-13 22:06:59.02418+00,false
23,20,7,2,2025-12-13 22:07:04.50806+00,false
24,16,7,2,2025-12-13 22:07:10.894581+00,false
25,18,7,2,2025-12-13 22:07:23.22614+00,false
26,22,7,2,2025-12-13 22:07:31.62615+00,false
27,23,8,2,2025-12-13 22:29:19.348463+00,false
28,16,8,2,2025-12-13 22:29:23.896821+00,false
29,18,8,2,2025-12-13 22:29:41.150458+00,false
30,20,8,2,2025-12-13 22:29:51.850489+00,false
31,22,8,2,2025-12-13 22:30:19.170588+00,false
32,23,9,2,2025-12-13 22:37:13.961387+00,false
33,16,9,2,2025-12-13 22:37:19.776944+00,false
34,12,9,2,2025-12-13 22:37:35.027028+00,false
35,26,9,2,2025-12-13 22:37:40.960769+00,false
36,18,9,2,2025-12-13 22:38:08.662724+00,false
37,19,10,2,2025-12-13 22:43:11.495134+00,false
38,14,10,2,2025-12-13 22:43:16.44801+00,false
39,21,10,2,2025-12-13 22:43:21.629006+00,false
40,17,10,2,2025-12-13 22:43:28.513161+00,false
41,20,10,2,2025-12-13 22:43:43.682691+00,false
42,16,11,2,2025-12-13 23:21:52.42392+00,false
43,18,11,2,2025-12-13 23:22:05.024439+00,false
44,22,11,2,2025-12-13 23:22:13.976119+00,false
45,12,11,2,2025-12-13 23:22:23.074449+00,false
46,20,11,2,2025-12-13 23:22:27.60974+00,false
47,23,12,2,2025-12-13 23:23:19.983731+00,false
48,16,12,2,2025-12-13 23:23:25.745849+00,false
49,20,12,2,2025-12-13 23:23:35.429754+00,false
50,26,12,2,2025-12-13 23:23:44.645814+00,false
51,18,12,2,2025-12-13 23:23:52.97989+00,false
52,21,13,2,2025-12-13 23:24:33.832097+00,false
53,19,13,2,2025-12-13 23:24:40.305732+00,false
54,14,13,2,2025-12-13 23:24:45.484102+00,false
55,9,13,2,2025-12-13 23:25:08.168149+00,false
56,11,13,2,2025-12-13 23:25:16.367808+00,false
57,16,14,2,2025-12-13 23:44:44.414846+00,false
58,23,14,2,2025-12-13 23:44:52.514898+00,false
59,20,14,2,2025-12-13 23:44:56.749653+00,false
60,26,14,2,2025-12-13 23:45:13.543063+00,false
61,18,14,2,2025-12-13 23:45:19.252824+00,false
62,26,15,2,2025-12-13 23:46:26.558966+00,false
63,16,15,2,2025-12-13 23:46:49.205171+00,false
64,23,15,2,2025-12-13 23:46:55.089278+00,false
65,18,15,2,2025-12-13 23:47:02.52306+00,false
66,20,15,2,2025-12-13 23:47:11.389617+00,false
67,16,16,2,2025-12-14 00:18:10.22574+00,false
68,23,16,2,2025-12-14 00:18:15.975959+00,false
69,22,16,2,2025-12-14 00:18:20.975945+00,false
70,26,16,2,2025-12-14 00:18:29.978056+00,false
71,18,16,2,2025-12-14 00:18:45.89572+00,false
72,12,17,2,2025-12-14 00:23:38.835876+00,false
73,16,17,2,2025-12-14 00:23:43.819737+00,false
74,23,17,2,2025-12-14 00:23:49.445437+00,false
75,18,17,2,2025-12-14 00:23:56.945896+00,false
76,22,17,2,2025-12-14 00:24:02.195615+00,false
77,16,18,2,2025-12-14 00:27:42.591964+00,false
78,26,18,2,2025-12-14 00:27:51.391744+00,false
79,23,18,2,2025-12-14 00:27:55.841628+00,false
80,18,18,2,2025-12-14 00:28:02.675978+00,false
81,27,18,2,2025-12-14 00:28:07.908074+00,false
82,21,19,2,2025-12-14 00:35:46.360156+00,false
83,17,19,2,2025-12-14 00:35:52.07996+00,false
84,14,19,2,2025-12-14 00:35:58.935917+00,false
85,19,19,2,2025-12-14 00:36:06.574061+00,false
86,11,19,2,2025-12-14 00:36:11.741889+00,false
87,11,20,2,2025-12-14 08:42:24.956868+00,false
88,15,20,2,2025-12-14 08:42:30.32657+00,false
