id,created_at,Artist_name,image_url,edition_id
1,2025-12-12 21:51:56.893919,Avicii,images/artist_images/avicii.jpg,1
2,2025-12-12 21:53:11.987581,Dua Lipa,images/artist_images/dua_lipa.jpg,1
3,2025-12-12 21:54:15.586895,50 Cent,images/artist_images/50_cent.jpg,1
4,2025-12-12 21:54:42.882067,Eminem,images/artist_images/eminem.jpg,1
5,2025-12-12 21:57:29.972959,Bastille,images/artist_images/bastille.jpg,1
6,2025-12-12 21:58:00.47139,Billie Eilish,images/artist_images/billie_eilish.jpg,1
7,2025-12-12 21:58:43.76787,Kings Of Leon,images/artist_images/kings_of_leon.jpg,1
8,2025-12-12 21:59:07.772629,Foo Fighters,images/artist_images/foo_fighters.jpg,1
9,2025-12-12 22:02:00.953915,The Weeknd,images/artist_images/the_weeknd.jpg,2
11,2025-12-12 22:02:45.936024,David Guetta,images/artist_images/david_guetta.jpg,2
12,2025-12-12 22:03:12.025794,Imagine Dragons,images/artist_images/imagine_dragons.jpg,2
13,2025-12-12 22:03:39.578655,Kanye West,images/artist_images/kanye_west.jpg,2
14,2025-12-12 22:48:05.295001,Meau,images/artist_images/meau.jpg,2
15,2025-12-12 22:48:56.972866,Bazart,images/artist_images/bazart.jpg,2
16,2025-12-13 21:50:21.339438,dEUS,images/artist_images/deus.jpg,2
17,2025-12-13 21:51:23.023208,Pommelien Thijs,images/artist_images/pommelien_thijs.jpg,2
18,2025-12-13 21:52:05.319486,The Cure,images/artist_images/the_cure.jpg,2
19,2025-12-13 21:53:32.079844,Florence + The Machine,images/artist_images/florence__the_machine.jpg,2
20,2025-12-13 21:56:37.57045,Red Hot Chili Peppers,images/artist_images/red_hot_chili_peppers.jpg,2
21,2025-12-13 21:59:17.671441,Angèle,images/artist_images/angele.jpg,2
22,2025-12-13 22:01:58.080281,Black Box Revelation,images/artist_images/black_box_revelation.jpg,2
23,2025-12-13 22:03:30.552529,Queens of the Stone Age,images/artist_images/queens_of_the_stone_age.jpg,2
24,2025-12-13 22:06:23.908633,The Black Keys,images/artist_images/the_black_keys.jpg,2
25,2025-12-13 22:27:15.924463,Amenra,images/artist_images/amenra.jpg,2
26,2025-12-13 22:35:35.159516,Greta Van Fleet,images/artist_images/greta_van_fleet.jpg,2
27,2025-12-13 22:36:54.657706,Metallica,images/artist_images/metallica.jpg,2
